Grade,Subject,Sub-Domain,Learning Outcome,Indicator
Grade 6,Math,Numbers and operations,"6-4-1-2-4 Understanding and finding ratios, rates, percentages, and proportions, distinguishing between them, and solving mathematical problems including real-life applications.","4. Solving mathematical problems including real-life applications that involve ratio, rate, percentage, and proportion and explaining their solutions."
Grade 6,Math,Numbers and operations,6-4-1-2-5 Performing the four operations on Proper fractions and mixed numbers and solving mathematical problems including real-life applications,"2. Adding and subtracting mixed numbers, and writing the result in simplest form."
Grade 6,Math,Numbers and operations,6-4-1-2-5 Performing the four operations on Proper fractions and mixed numbers and solving mathematical problems including real-life applications,"3. Multiplying and dividing Proper fractions, and writing the result in simplest form."
Grade 6,Math,Numbers and operations,6-4-1-2-5 Performing the four operations on Proper fractions and mixed numbers and solving mathematical problems including real-life applications,"4. Multiplying and dividing mixed numbers, and writing the result in simplest form."
Grade 6,Math,Numbers and operations,"6-4-1-2-6 Performing the four arithmetic operations on decimal fractions, numbers and solving mathematical problems including real-life applications.",1. Adding and subtracting decimal fractions up to a thousand place.
Grade 6,Math,Numbers and operations,"6-4-1-2-6 Performing the four arithmetic operations on decimal fractions, numbers and solving mathematical problems including real-life applications.",3. Solving mathematical problems up to three steps that involve real-life applications of the four operations on decimal fractions and explaining their solutions.
Grade 6,Math,Numbers and operations,"6-4-1-2-7 Estimating the results of the four arithmetic operations on whole numbers, Proper fractions, and decimal fractions, and using mental calculation strategies to find results, and verifying the plausibility and accuracy of the results.","1 Estimating the results of the four arithmetic operations on whole numbers, Proper fractions, mixed numbers, and decimal Proper by using rounding."
Grade 6,Math,Numbers and operations,"6-4-1-2-7 Estimating the results of the four arithmetic operations on whole numbers, Proper fractions, and decimal fractions, and using mental calculation strategies to find results, and verifying the plausibility and accuracy of the results.","2. Using mental calculation to find the results of multiplying and dividing a two-digit number by multiples of (10, 100, 1000)."
Grade 6,Math,Numbers and operations,"6-4-1-2-7 Estimating the results of the four arithmetic operations on whole numbers, Proper fractions, and decimal fractions, and using mental calculation strategies to find results, and verifying the plausibility and accuracy of the results.","5. Verifying the plausibility and accuracy of the results of the four operations on whole numbers, Proper fractions, mixed numbers, and decimal fractions by using approximation or mental calculation."
Grade 6,Math,Statistics and probabilities,"6-4-4-2-1 Understanding measures of central tendency and range, distinguishing between them, and finding and interpreting them.","1. Distinguishing the mean, median, mode, and range, finding them for a set of individual data values, and interpreting them in context."
Grade 6,Science,Earth and Space Sciences,6-5-3-1-1 Describing the changes in the appearance of the moon during its revolution around the Earth explains the reasons for these changes,"1. Describing the apparent shape of the moon during its rotation around the earth, and naming the different phases of the moon."
Grade 6,Science,Earth and Space Sciences,"6-5-3-1-2 Explaining the phenomena related to the movement of the earth, the moon and the sun and the resulting",1. Explaining the importance and impact of the sun's movement on aspects of life around them.
Grade 6,Science,Earth and Space Sciences,"6-5-3-1-2 Explaining the phenomena related to the movement of the earth, the moon and the sun and the resulting","1. Explaining the phenomenon of tides, and explaining the influence of the moon in its occurrence and its geological effects."
Grade 6,Science,Earth and Space Sciences,"6-5-3-1-2 Explaining the phenomena related to the movement of the earth, the moon and the sun and the resulting",3. Explaining the occurrence of the lunar eclipse and the solar eclipse.
Grade 6,Science,Earth and Space Sciences,"6-5-3-1-3 Concluding the effect of gravity on the movement of the solar system, galaxies and associated phenomena.","3. Distinguishing the phenomena associated with the movement of celestial bodies, and providing supporting evidence."
Grade 6,Science,Earth and Space Sciences,"6-5-3-1-4 Determining the characteristics of the solar system, and comparing the solar system to the galaxy and the","1. Classifying the layers of the atmosphere and comparing them in terms of similarities and differences, and identifying some environmental problems resulting from changes in atmospheric layers."
Grade 6,Science,Earth and Space Sciences,"6-5-3-1-4 Determining the characteristics of the solar system, and comparing the solar system to the galaxy and the","2. Comparing the sun and other stars in terms of size, color and explans the relationship between a star’s color and its temperature"
Grade 6,Science,Earth and Space Sciences,"6-5-3-2-1Classifying the layers of the atmosphere and identifying their components, characteristics, changes, its effects on the environment and their benefits to humans.",2. Explaining the movement of air masses and air currents and describing their effects on Earth’s weather.
Grade 6,Science,Earth and Space Sciences,"6-5-3-2-1Classifying the layers of the atmosphere and identifying their components, characteristics, changes, its effects on the environment and their benefits to humans.","3. Identifying the causes of weather variability and their relationship to the Earth’s water cycle, and predicting their environmental impacts on weather."
